gen,ind,indType,sendType,strategy,alphaBeta,fitness
3000,22,Receiver,na,1,1,1
3000,23,Receiver,na,1,1,1
3000,24,Receiver,na,1,0.992247,0
3000,25,Receiver,na,1,1,1
3000,26,Receiver,na,1,1,1
3000,27,Receiver,na,1,1,1
3000,28,Receiver,na,1,1,1
3000,29,Receiver,na,1,0.984925,1
3000,30,Receiver,na,1,1,1
3000,31,Receiver,na,1,1,1
3000,32,Receiver,na,1,0.984925,1
3000,33,Receiver,na,1,1,1
3000,34,Receiver,na,1,1,1
3000,35,Receiver,na,1,1,1
3000,36,Receiver,na,1,1,1
3000,37,Receiver,na,1,1,1
3000,38,Receiver,na,1,1,1
3000,39,Receiver,na,1,1,1
3000,40,Receiver,na,1,1,1
3000,41,Receiver,na,1,1,1
3000,42,Receiver,na,1,0.984925,1
3000,43,Receiver,na,1,1,1
3000,44,Receiver,na,1,1,1
3000,45,Receiver,na,1,1,1
3000,46,Receiver,na,1,1,1
3000,47,Receiver,na,1,0.992247,1
3000,48,Receiver,na,1,1,1
3000,49,Receiver,na,1,1,1
3000,50,Receiver,na,1,0.992247,1
3000,51,Receiver,na,1,0.984925,1
3000,52,Receiver,na,1,0.984925,1
3000,53,Receiver,na,1,1,1
3000,54,Receiver,na,1,0.992247,1
3000,55,Receiver,na,1,1,1
3000,56,Receiver,na,1,1,1
3000,57,Receiver,na,1,0.992247,1
3000,58,Receiver,na,1,1,1
3000,59,Receiver,na,1,0.984925,1
3000,60,Receiver,na,1,1,1
3000,61,Receiver,na,1,1,1
3000,62,Receiver,na,2,1,0
3000,63,Receiver,na,1,0.984925,1
3000,64,Receiver,na,1,0.984925,1
3000,65,Receiver,na,1,1,1
3000,66,Receiver,na,1,1,1
3000,67,Receiver,na,1,1,1
3000,68,Receiver,na,1,1,1
3000,69,Receiver,na,1,1,1
3000,70,Receiver,na,1,1,1
3000,71,Receiver,na,1,1,1
3000,72,Receiver,na,1,0.992247,1
3000,73,Receiver,na,1,0.984925,1
3000,74,Receiver,na,1,1,1
